client,deliverables,deliverables_llm,doc_id,file,scope_of_work,scope_of_work_llm,tone
"Williams, Guzman and Keith",1,1,SOW-0500,sow_0500.txt,,,corporate
Copeland PLC,,,SOW-0501,sow_0501.txt,1,1,technical
Chavez Inc,1,1,SOW-0502,sow_0502.txt,,,corporate
Cannon-Lester,1,1,SOW-0503,sow_0503.txt,1,0,technical
Warner-Jackson,1,1,SOW-0504,sow_0504.txt,1,0,conversational
Jones-Bowman,1,0,SOW-0505,sow_0505.txt,,,technical
Brown Inc,1,1,SOW-0506,sow_0506.txt,1,0,neutral
Wilson LLC,,,SOW-0507,sow_0507.txt,1,1,neutral
Soto and Sons,1,0,SOW-0508,sow_0508.txt,1,1,legal
Washington LLC,1,1,SOW-0509,sow_0509.txt,1,0,neutral
Rios and Sons,1,1,SOW-0510,sow_0510.txt,1,0,legal
Page-Camacho,1,1,SOW-0511,sow_0511.txt,1,0,conversational
Williams Ltd,1,0,SOW-0512,sow_0512.txt,1,1,legal
"Hanson, Benton and King",1,1,SOW-0513,sow_0513.txt,,,technical
"Escobar, Alvarado and Barnes",1,0,SOW-0514,sow_0514.txt,1,1,legal
Aguilar Group,1,0,SOW-0515,sow_0515.txt,1,1,corporate
Wilson Inc,1,0,SOW-0516,sow_0516.txt,1,1,neutral
Archer-Fischer,1,1,SOW-0517,sow_0517.txt,1,0,explanatory
Baker Group,,,SOW-0518,sow_0518.txt,1,1,neutral
Whitaker LLC,1,0,SOW-0519,sow_0519.txt,1,1,conversational
Vasquez Group,1,0,SOW-0520,sow_0520.txt,1,1,neutral
Prince and Sons,1,1,SOW-0521,sow_0521.txt,1,0,corporate
Nelson-Williams,,,SOW-0522,sow_0522.txt,1,1,neutral
Meyer-Weeks,1,1,SOW-0523,sow_0523.txt,,,formal
Alvarado Ltd,1,1,SOW-0524,sow_0524.txt,1,0,formal
Ray LLC,,,SOW-0525,sow_0525.txt,1,1,neutral
Brown LLC,1,0,SOW-0526,sow_0526.txt,1,1,conversational
Cruz-Graham,1,1,SOW-0527,sow_0527.txt,1,0,formal
Hardy-Mclaughlin,,,SOW-0528,sow_0528.txt,1,1,explanatory
"Wade, Reyes and Lopez",1,1,SOW-0529,sow_0529.txt,,,corporate
"Stephens, Diaz and Hogan",1,0,SOW-0530,sow_0530.txt,1,1,corporate
Rios-Smith,1,0,SOW-0531,sow_0531.txt,1,1,technical
"Martinez, Rivas and Walls",,,SOW-0532,sow_0532.txt,1,1,contractual
"Mendez, Blair and Harris",1,1,SOW-0533,sow_0533.txt,1,0,explanatory
Suarez Ltd,1,0,SOW-0534,sow_0534.txt,1,0,technical
